customer_id,qtt_order,total_spent,last_order
0,370,189719.04,2022-10-30 07:00:00
1,48,159092.71,2022-06-30 12:00:00
2,4,28239.3,2022-08-21 01:00:00
3,157,378630.99,2022-06-30 04:00:00
4,16,84763.2,2022-03-18 20:00:00
5,9,278171.01,2022-06-08 21:00:00
6,26,404910.31,2022-04-10 01:00:00
7,174,293242.19,2022-09-12 19:00:00
8,644,1185817.34,2022-07-27 11:00:00
9,99,221611.72,2022-02-02 03:00:00
10,79,219216.28,2022-02-15 01:00:00
11,2,146029.65,2022-05-21 15:00:00
12,345,555231.38,2022-07-05 05:00:00
13,127,383001.11,2022-08-13 17:00:00
14,16,67965.53,2022-04-24 19:00:00
15,18,157647.2,2022-06-22 01:00:00
16,279,272231.41,2022-04-12 04:00:00
17,18,43753.35,2022-09-19 15:00:00
18,22,142337.76,2022-04-15 08:00:00
19,34,253837.8,2022-02-09 05:00:00
20,5,126307.33,2022-05-24 19:00:00
21,52,106338.59,2022-01-13 08:00:00
22,26,7912.02,2022-02-19 01:00:00
23,118,100878.78,2022-02-02 11:00:00
24,257,43688.53,2022-04-24 01:00:00
25,29,52525.47,2021-12-04 10:00:00
26,51,420883.3,2022-04-15 10:00:00
27,5,262759.45,2022-05-13 17:00:00
28,101,26043.4,2022-10-28 10:00:00
29,49,15604.02,2022-03-31 18:00:00
30,48,42429.57,2022-01-11 07:00:00
31,159,555765.84,2022-04-18 17:00:00
32,452,1093656.72,2022-06-07 19:00:00
33,10,132583.51,2022-05-20 19:00:00
34,8,194275.45,2022-03-01 19:00:00
35,49,28548.16,2022-02-12 05:00:00
36,13,650424.9,2022-05-16 18:00:00
37,22,105735.57,2022-10-27 06:00:00
38,28,16620.02,2022-01-22 06:00:00
39,26,134734.86,2022-06-14 02:00:00
40,23,163425.83,2022-06-03 21:00:00
41,8,91895.69,2022-08-02 04:00:00
42,6,48537.06,2022-04-13 13:00:00
43,87,254136.69,2022-06-16 03:00:00
44,42,792871.2,2022-06-12 01:00:00
45,47,80735.94,2022-02-21 10:00:00
46,75,74678.13,2022-09-11 03:00:00
47,93,7241.76,2022-06-13 13:00:00
48,20,66027.35,2022-02-13 19:00:00
49,16,7655.07,2022-11-11 21:00:00
50,30,92011.65,2022-11-19 20:00:00
51,50,160997.07,2022-06-24 10:00:00
52,33,458328.46,2022-06-17 05:00:00
53,23,633262.73,2022-02-15 20:00:00
54,10,109825.69,2022-01-16 20:00:00
55,272,636360.15,2022-10-15 11:00:00
56,91,272559.4,2022-04-17 15:00:00
57,15,52887.53,2022-10-05 12:00:00
58,121,141227.5,2022-01-10 15:00:00
59,57,219884.42,2022-08-24 04:00:00
60,39,713658.54,2022-04-02 01:00:00
61,12,414676.19,2022-09-02 20:00:00
62,272,235708.22,2022-08-08 11:00:00
63,18,92543.89,2022-05-01 21:00:00
64,74,208922.04,2022-04-28 01:00:00
65,6,11736.71,2022-01-17 02:00:00
66,64,210535.44,2022-05-29 19:00:00
67,54,260903.37,2022-10-29 02:00:00
68,76,400523.25,2022-02-08 09:00:00
69,30,7816.15,2022-04-04 04:00:00
70,23,29830.95,2022-04-15 03:00:00
71,23,53417.04,2022-10-01 22:00:00
72,250,266271.87,2022-02-01 20:00:00
73,24,69955.31,2022-02-12 03:00:00
74,155,234167.2,2022-01-18 20:00:00
75,498,601059.36,2022-04-26 05:00:00
76,60,609994.8,2022-04-08 13:00:00
77,15,90994.29,2022-08-26 17:00:00
78,3,100678.94,2022-04-01 03:00:00
79,135,794923.38,2022-03-08 22:00:00
80,62,832010.4,2022-01-19 20:00:00
81,60,96291.6,2022-08-18 05:00:00
82,0,101253.74,2022-08-21 17:00:00
83,61,145346.92,2022-08-22 22:00:00
84,170,62939.74,2022-05-22 09:00:00
85,27,153587.9,2022-03-13 23:00:00
86,31,1178700.91,2022-08-13 18:00:00
87,97,198383.61,2022-10-14 06:00:00
88,88,237759.35,2022-10-20 20:00:00
89,213,117952.08,2022-09-14 21:00:00
90,24,107944.57,2022-04-25 07:00:00
91,14,38042.42,2022-10-11 07:00:00
92,34,53228.08,2022-08-21 20:00:00
93,93,223118.28,2022-02-06 00:00:00
94,42,31842.13,2022-02-02 03:00:00
95,46,42700.75,2022-03-08 19:00:00
96,483,38896.39,2022-04-15 03:00:00
97,40,2891.05,2022-07-24 11:00:00
